Test Case,Fault,Command
t156,[1],-P [9 8 9 < ../inputs/input/inp.26]
t163,[1],-P [1 1 1 < ../inputs/input/inp.78]
t172,[1],-P [10 4 3 < ../inputs/input/inp.35]
t179,[1],-P [3 9 5 < ../inputs/input/inp.2]
t181,[5],-P [7 8 4 < ../inputs/input/inp.30]
t183,[1],-P [10 6 5 < ../inputs/input/inp.35]
t202,[5],-P [4 7 6 < ../inputs/input/inp.30]
t207,[1],-P [9 8 10 < ../inputs/input/inp.35]
t208,[5],-P [7 8 10 < ../inputs/input/inp.30]
t215,[1],-P [3 7 4 < ../inputs/input/inp.2]
t223,[1],-P [8 7 6 < ../inputs/input/inp.59]
t238,[2],-P [8 8 9 < ../inputs/input/inp.89]
t239,[1],-P [8 0 7 < ../inputs/input/inp.28]
t256,[1],-P [6 6 0 < ../inputs/input/inp.59]
t262,[1],-P [6 9 6 < ../inputs/input/inp.2]
t279,[1],-P [6 10 7 < ../inputs/input/inp.82]
t286,[1],-P [7 5 5 < ../inputs/input/inp.78]
t1570,[1],-P [9 8 5 < ../inputs/input/inp.hf.14]
t1582,[1],-P [3 7 3 < ../inputs/input/inp.hf.26]
t2596,[1],-P [1 3 1 < ../inputs/input/ct.11]
t2597,[1],-P [0 3 0 < ../inputs/input/ct.11]
t2600,[1],-P [3 4 5 < ../inputs/input/ct.14]
t2617,[1],-P [2 3 1 < ../inputs/input/ct.31]
t2664,[1],-P [7 1 3 < ../inputs/input/zt.14]
t1,[],-P [7 1 9 < ../inputs/input/inp.58]
t2,[],-P [2 3 5 < ../inputs/input/inp.46]
t3,[],-P [4 8 8 < ../inputs/input/inp.18]
t4,[],-P [10 0 2 < ../inputs/input/inp.51]
t5,[],-P [8 3 2 < ../inputs/input/inp.99]
t6,[],-P [7 10 5 < ../inputs/input/inp.84]
t7,[],-P [4 0 6 < ../inputs/input/inp.20]
t9,[],-P [9 7 5 < ../inputs/input/inp.9]
t10,[],-P [9 10 6 < ../inputs/input/inp.98]
t12,[],-P [8 9 0 < ../inputs/input/inp.34]
t13,[],-P [8 5 0 < ../inputs/input/inp.42]
t14,[],-P [9 8 5 < ../inputs/input/inp.88]
t16,[],-P [8 3 9 < ../inputs/input/inp.56]
t19,[],-P [0 4 1 < ../inputs/input/inp.75]
t20,[],-P [0 10 6 < ../inputs/input/inp.59]
t21,[],-P [9 0 9 < ../inputs/input/inp.20]
t22,[],-P [9 9 2 < ../inputs/input/inp.3]
t23,[],-P [6 1 0 < ../inputs/input/inp.27]
t24,[],-P [5 10 8 < ../inputs/input/inp.66]
t25,[],-P [6 9 0 < ../inputs/input/inp.88]
t26,[],-P [3 7 3 < ../inputs/input/inp.32]
t27,[],-P [1 5 5 < ../inputs/input/inp.35]
t28,[],-P [1 2 7 < ../inputs/input/inp.30]
t29,[],-P [2 7 6 < ../inputs/input/inp.19]
t30,[],-P [4 6 3 < ../inputs/input/inp.68]
t31,[],-P [4 6 2 < ../inputs/input/inp.97]
t32,[],-P [8 4 2 < ../inputs/input/inp.58]
t33,[],-P [10 0 0 < ../inputs/input/inp.21]
t35,[],-P [8 9 10 < ../inputs/input/inp.76]
t37,[],-P [8 9 0 < ../inputs/input/inp.37]
t38,[],-P [10 10 3 < ../inputs/input/inp.15]
t39,[],-P [1 7 2 < ../inputs/input/inp.60]
t40,[],-P [2 9 5 < ../inputs/input/inp.15]
t41,[],-P [9 4 2 < ../inputs/input/inp.15]
t42,[],-P [9 0 0 < ../inputs/input/inp.81]
t43,[],-P [0 6 4 < ../inputs/input/inp.19]
t44,[],-P [10 4 5 < ../inputs/input/inp.53]
t46,[],-P [0 2 2 < ../inputs/input/inp.97]
t47,[],-P [10 8 8 < ../inputs/input/inp.52]
t48,[],-P [0 5 1 < ../inputs/input/inp.22]
t49,[],-P [4 1 6 < ../inputs/input/inp.23]
t50,[],-P [7 10 4 < ../inputs/input/inp.10]
t51,[],-P [8 1 0 < ../inputs/input/inp.37]
t52,[],-P [1 10 6 < ../inputs/input/inp.1]
t53,[],-P [2 8 0 < ../inputs/input/inp.55]
t54,[],-P [0 5 1 < ../inputs/input/inp.91]
t55,[],-P [0 7 4 < ../inputs/input/inp.44]
t59,[],-P [3 3 2 < ../inputs/input/inp.27]
t60,[],-P [6 1 4 < ../inputs/input/inp.60]
t61,[],-P [0 6 8 < ../inputs/input/inp.90]
t62,[],-P [5 2 8 < ../inputs/input/inp.81]
t63,[],-P [3 4 5 < ../inputs/input/inp.46]
t64,[],-P [10 4 0 < ../inputs/input/inp.86]
t65,[],-P [6 1 2 < ../inputs/input/inp.38]
t66,[],-P [8 2 9 < ../inputs/input/inp.39]
t67,[],-P [6 7 7 < ../inputs/input/inp.3]
t68,[],-P [2 5 5 < ../inputs/input/inp.6]
t69,[],-P [7 5 7 < ../inputs/input/inp.66]
t70,[],-P [3 6 1 < ../inputs/input/inp.61]
t73,[],-P [3 5 6 < ../inputs/input/inp.84]
t74,[],-P [4 8 0 < ../inputs/input/inp.51]
t76,[],-P [1 4 4 < ../inputs/input/inp.68]
t77,[],-P [0 4 4 < ../inputs/input/inp.56]
t78,[],-P [1 3 8 < ../inputs/input/inp.43]
t79,[],-P [4 6 6 < ../inputs/input/inp.39]
t81,[],-P [1 3 10 < ../inputs/input/inp.27]
t82,[],-P [7 3 8 < ../inputs/input/inp.86]
t83,[],-P [3 3 8 < ../inputs/input/inp.3]
t84,[],-P [1 10 1 < ../inputs/input/inp.61]
t86,[],-P [3 5 3 < ../inputs/input/inp.43]
t87,[],-P [7 6 0 < ../inputs/input/inp.5]
t89,[],-P [9 0 3 < ../inputs/input/inp.73]
t90,[],-P [8 7 6 < ../inputs/input/inp.54]
t91,[],-P [6 10 9 < ../inputs/input/inp.74]
t92,[],-P [5 4 8 < ../inputs/input/inp.99]
t93,[],-P [3 0 2 < ../inputs/input/inp.38]
t94,[],-P [2 0 1 < ../inputs/input/inp.3]
t95,[],-P [6 4 6 < ../inputs/input/inp.58]
t96,[],-P [8 9 6 < ../inputs/input/inp.32]
t98,[],-P [9 3 7 < ../inputs/input/inp.40]
t99,[],-P [3 9 4 < ../inputs/input/inp.41]
t100,[],-P [6 10 0 < ../inputs/input/inp.56]
t101,[],-P [3 0 7 < ../inputs/input/inp.71]
t102,[],-P [2 9 4 < ../inputs/input/inp.20]
t104,[],-P [2 9 9 < ../inputs/input/inp.25]
t105,[],-P [0 10 3 < ../inputs/input/inp.6]
t106,[],-P [3 10 10 < ../inputs/input/inp.63]
t107,[],-P [10 1 7 < ../inputs/input/inp.74]
t108,[],-P [7 1 2 < ../inputs/input/inp.16]
t109,[],-P [1 4 5 < ../inputs/input/inp.24]
t110,[],-P [0 0 1 < ../inputs/input/inp.71]
t111,[],-P [8 5 1 < ../inputs/input/inp.92]
t113,[],-P [4 9 4 < ../inputs/input/inp.44]
t114,[],-P [8 7 4 < ../inputs/input/inp.20]
t115,[],-P [0 0 8 < ../inputs/input/inp.29]
t116,[],-P [5 7 9 < ../inputs/input/inp.39]
t117,[],-P [0 8 2 < ../inputs/input/inp.47]
t118,[],-P [2 3 3 < ../inputs/input/inp.3]
t120,[],-P [8 0 0 < ../inputs/input/inp.32]
t122,[],-P [5 5 8 < ../inputs/input/inp.74]
t123,[],-P [1 7 2 < ../inputs/input/inp.59]
t124,[],-P [3 1 10 < ../inputs/input/inp.71]
t125,[],-P [7 5 2 < ../inputs/input/inp.98]
t126,[],-P [6 9 0 < ../inputs/input/inp.74]
t127,[],-P [5 1 1 < ../inputs/input/inp.60]
t128,[],-P [10 10 6 < ../inputs/input/inp.79]
t129,[],-P [2 2 3 < ../inputs/input/inp.35]
t130,[],-P [6 2 6 < ../inputs/input/inp.20]
t132,[],-P [8 4 9 < ../inputs/input/inp.54]
t133,[],-P [1 1 4 < ../inputs/input/inp.30]
t134,[],-P [5 8 10 < ../inputs/input/inp.76]
t136,[],-P [4 9 10 < ../inputs/input/inp.33]
t137,[],-P [7 9 0 < ../inputs/input/inp.25]
t138,[],-P [2 6 0 < ../inputs/input/inp.45]
t139,[],-P [2 3 7 < ../inputs/input/inp.99]
t140,[],-P [2 2 10 < ../inputs/input/inp.45]
t141,[],-P [5 0 9 < ../inputs/input/inp.11]
t142,[],-P [4 8 1 < ../inputs/input/inp.53]
t143,[],-P [5 3 2 < ../inputs/input/inp.38]
t145,[],-P [1 6 10 < ../inputs/input/inp.57]
t146,[],-P [0 4 10 < ../inputs/input/inp.82]
t148,[],-P [1 2 10 < ../inputs/input/inp.40]
t150,[],-P [8 3 8 < ../inputs/input/inp.92]
t151,[],-P [1 10 7 < ../inputs/input/inp.18]
t152,[],-P [7 8 5 < ../inputs/input/inp.9]
t153,[],-P [7 6 5 < ../inputs/input/inp.24]
t157,[],-P [4 2 4 < ../inputs/input/inp.22]
t158,[],-P [8 7 4 < ../inputs/input/inp.94]
t159,[],-P [8 7 4 < ../inputs/input/inp.40]
t160,[],-P [5 6 2 < ../inputs/input/inp.92]
t161,[],-P [9 8 3 < ../inputs/input/inp.0]
t162,[],-P [7 6 2 < ../inputs/input/inp.86]
t164,[],-P [3 7 3 < ../inputs/input/inp.7]
t165,[],-P [3 8 8 < ../inputs/input/inp.61]
t166,[],-P [10 2 4 < ../inputs/input/inp.84]
t167,[],-P [2 2 2 < ../inputs/input/inp.51]
t168,[],-P [0 4 2 < ../inputs/input/inp.2]
t169,[],-P [5 2 0 < ../inputs/input/inp.76]
t170,[],-P [7 10 1 < ../inputs/input/inp.21]
t171,[],-P [7 0 0 < ../inputs/input/inp.39]
t173,[],-P [1 8 1 < ../inputs/input/inp.5]
t174,[],-P [2 1 10 < ../inputs/input/inp.20]
t175,[],-P [10 1 6 < ../inputs/input/inp.8]
t176,[],-P [10 5 7 < ../inputs/input/inp.72]
t177,[],-P [9 10 5 < ../inputs/input/inp.96]
t178,[],-P [1 1 8 < ../inputs/input/inp.14]
t180,[],-P [6 2 10 < ../inputs/input/inp.71]
t182,[],-P [9 5 7 < ../inputs/input/inp.96]
t184,[],-P [8 2 8 < ../inputs/input/inp.50]
t185,[],-P [10 7 4 < ../inputs/input/inp.72]
t186,[],-P [0 2 5 < ../inputs/input/inp.16]
t187,[],-P [0 0 7 < ../inputs/input/inp.60]
t188,[],-P [7 8 9 < ../inputs/input/inp.64]
t189,[],-P [1 3 8 < ../inputs/input/inp.65]
t190,[],-P [2 0 8 < ../inputs/input/inp.86]
t191,[],-P [1 5 3 < ../inputs/input/inp.33]
t192,[],-P [2 2 0 < ../inputs/input/inp.85]
t193,[],-P [4 6 10 < ../inputs/input/inp.86]
t194,[],-P [5 0 2 < ../inputs/input/inp.83]
t195,[],-P [5 7 6 < ../inputs/input/inp.75]
t196,[],-P [4 2 2 < ../inputs/input/inp.77]
t198,[],-P [10 3 8 < ../inputs/input/inp.7]
t199,[],-P [4 0 6 < ../inputs/input/inp.99]
t200,[],-P [2 6 2 < ../inputs/input/inp.92]
t201,[],-P [2 8 10 < ../inputs/input/inp.97]
t203,[],-P [6 6 3 < ../inputs/input/inp.55]
t204,[],-P [9 0 5 < ../inputs/input/inp.51]
t205,[],-P [2 10 3 < ../inputs/input/inp.5]
t206,[],-P [7 2 2 < ../inputs/input/inp.17]
t209,[],-P [5 7 9 < ../inputs/input/inp.76]
t210,[],-P [10 10 10 < ../inputs/input/inp.97]
t211,[],-P [5 0 10 < ../inputs/input/inp.52]
t212,[],-P [1 2 5 < ../inputs/input/inp.45]
t213,[],-P [3 2 0 < ../inputs/input/inp.22]
t214,[],-P [9 2 6 < ../inputs/input/inp.23]
t216,[],-P [5 2 3 < ../inputs/input/inp.37]
t217,[],-P [2 9 10 < ../inputs/input/inp.34]
t218,[],-P [4 2 10 < ../inputs/input/inp.97]
t219,[],-P [1 5 4 < ../inputs/input/inp.61]
t220,[],-P [2 9 9 < ../inputs/input/inp.65]
t221,[],-P [6 10 5 < ../inputs/input/inp.13]
t222,[],-P [1 3 3 < ../inputs/input/inp.15]
t225,[],-P [10 10 4 < ../inputs/input/inp.18]
t226,[],-P [9 1 3 < ../inputs/input/inp.1]
t227,[],-P [3 7 6 < ../inputs/input/inp.47]
t228,[],-P [2 4 10 < ../inputs/input/inp.18]
t229,[],-P [2 3 9 < ../inputs/input/inp.4]
t230,[],-P [10 10 3 < ../inputs/input/inp.61]
t231,[],-P [9 0 8 < ../inputs/input/inp.87]
t232,[],-P [9 10 7 < ../inputs/input/inp.66]
t233,[],-P [6 5 0 < ../inputs/input/inp.53]
t234,[],-P [8 2 7 < ../inputs/input/inp.53]
t235,[],-P [8 0 6 < ../inputs/input/inp.4]
t236,[],-P [2 1 4 < ../inputs/input/inp.81]
t237,[],-P [9 6 10 < ../inputs/input/inp.99]
t240,[],-P [4 10 7 < ../inputs/input/inp.66]
t241,[],-P [7 0 5 < ../inputs/input/inp.70]
t242,[],-P [0 1 10 < ../inputs/input/inp.83]
t243,[],-P [0 0 9 < ../inputs/input/inp.63]
t244,[],-P [2 3 6 < ../inputs/input/inp.83]
t245,[],-P [4 7 0 < ../inputs/input/inp.66]
t246,[],-P [1 7 7 < ../inputs/input/inp.40]
t247,[],-P [7 4 6 < ../inputs/input/inp.51]
t248,[],-P [8 1 2 < ../inputs/input/inp.42]
t249,[],-P [0 3 1 < ../inputs/input/inp.66]
t250,[],-P [10 6 3 < ../inputs/input/inp.42]
t251,[],-P [0 2 3 < ../inputs/input/inp.39]
t252,[],-P [9 7 3 < ../inputs/input/inp.56]
t253,[],-P [3 0 5 < ../inputs/input/inp.1]
t254,[],-P [5 4 4 < ../inputs/input/inp.44]
t255,[],-P [10 5 6 < ../inputs/input/inp.27]
t257,[],-P [2 2 5 < ../inputs/input/inp.25]
t258,[],-P [4 6 6 < ../inputs/input/inp.52]
t259,[],-P [8 5 8 < ../inputs/input/inp.19]
t260,[],-P [1 9 4 < ../inputs/input/inp.16]
t261,[],-P [1 1 6 < ../inputs/input/inp.84]
t263,[],-P [2 6 10 < ../inputs/input/inp.20]
t264,[],-P [2 1 2 < ../inputs/input/inp.58]
t265,[],-P [4 2 0 < ../inputs/input/inp.39]
t266,[],-P [2 8 1 < ../inputs/input/inp.10]
t267,[],-P [8 10 0 < ../inputs/input/inp.73]
t268,[],-P [7 8 5 < ../inputs/input/inp.34]
t269,[],-P [1 1 6 < ../inputs/input/inp.8]
t270,[],-P [9 5 3 < ../inputs/input/inp.24]
t271,[],-P [8 0 3 < ../inputs/input/inp.80]
t272,[],-P [10 2 6 < ../inputs/input/inp.33]
t273,[],-P [4 10 3 < ../inputs/input/inp.98]
t274,[],-P [6 7 10 < ../inputs/input/inp.20]
t275,[],-P [8 10 4 < ../inputs/input/inp.17]
t276,[],-P [8 2 9 < ../inputs/input/inp.70]
t277,[],-P [0 2 1 < ../inputs/input/inp.55]
t278,[],-P [8 7 8 < ../inputs/input/inp.17]
t280,[],-P [2 2 2 < ../inputs/input/inp.60]
t281,[],-P [9 7 9 < ../inputs/input/inp.38]
t282,[],-P [5 3 10 < ../inputs/input/inp.96]
t283,[],-P [9 6 6 < ../inputs/input/inp.75]
t284,[],-P [3 6 3 < ../inputs/input/inp.20]
t285,[],-P [0 8 8 < ../inputs/input/inp.34]
t287,[],-P [6 2 3 < ../inputs/input/inp.66]
t288,[],-P [10 6 6 < ../inputs/input/inp.47]
t289,[],-P [9 3 6 < ../inputs/input/inp.37]
t291,[],-P [3 2 7 < ../inputs/input/inp.48]
t292,[],-P [8 7 4 < ../inputs/input/inp.21]
t293,[],-P [7 8 3 < ../inputs/input/inp.97]
t294,[],-P [8 7 10 < ../inputs/input/inp.63]
t295,[],-P [9 9 7 < ../inputs/input/inp.64]
t297,[],-P [0 0 6 < ../inputs/input/inp.81]
t298,[],-P [3 9 4 < ../inputs/input/inp.70]
t299,[],-P [4 2 3 < ../inputs/input/inp.48]
t300,[],-P [6 7 9 < ../inputs/input/inp.48]
t301,[],-P [ 0 0 0 < ../inputs/input/tc.1]
t302,[],-P [ 3 0 0 < ../inputs/input/tc.2]
t303,[],-P [ 0 1 0 < ../inputs/input/tc.3]
t304,[],-P [ 0 0 3 < ../inputs/input/tc.4]
t305,[],-P [ 2 1 4 < ../inputs/input/tc.5]
t306,[],-P [ 0 0 0 < ../inputs/input/tc.6]
t307,[],-P [ 0 4 0 < ../inputs/input/tc.7]
t308,[],-P [ 0 0 0 < ../inputs/input/tc.8]
t309,[],-P [ 0 0 0 < ../inputs/input/tc.9]
t310,[],-P [ 0 0 0 < ../inputs/input/tc.10]
t311,[],-P [ 0 0 0 < ../inputs/input/tc.11]
t312,[],-P [ 0 0 0 < ../inputs/input/tc.12]
t313,[],-P [ 0 2 0 < ../inputs/input/tc.13]
t314,[],-P [ 0 0 0 < ../inputs/input/tc.14]
t315,[],-P [ 3 0 0 < ../inputs/input/tc.15]
t316,[],-P [ 4 2 3 < ../inputs/input/tc.16]
t317,[],-P [ 0 0 0 < ../inputs/input/tc.17]
t318,[],-P [ 0 0 0 < ../inputs/input/tc.18]
t319,[],-P [ 0 0 1 < ../inputs/input/tc.19]
t320,[],-P [ 0 0 0 < ../inputs/input/tc.20]
t321,[],-P [ 2 0 0 < ../inputs/input/tc.21]
t322,[],-P [ 0 4 0 < ../inputs/input/tc.22]
t323,[],-P [ 0 0 0 < ../inputs/input/tc.23]
t324,[],-P [ 0 0 0 < ../inputs/input/tc.24]
t325,[],-P [ 0 0 0 < ../inputs/input/tc.25]
t326,[],-P [ 0 4 0 < ../inputs/input/tc.26]
t327,[],-P [ 0 0 3 < ../inputs/input/tc.27]
t328,[],-P [ 0 0 0 < ../inputs/input/tc.28]
t329,[],-P [ 0 0 3 < ../inputs/input/tc.29]
t330,[],-P [ 0 0 0 < ../inputs/input/tc.30]
t331,[],-P [ 0 0 0 < ../inputs/input/tc.31]
t332,[],-P [ 0 0 1 < ../inputs/input/tc.32]
t333,[],-P [ 0 0 0 < ../inputs/input/tc.33]
t334,[],-P [ 0 0 0 < ../inputs/input/tc.34]
t335,[],-P [ 0 0 2 < ../inputs/input/tc.35]
t336,[],-P [ 3 4 3 < ../inputs/input/tc.36]
t337,[],-P [ 0 0 0 < ../inputs/input/tc.37]
t338,[],-P [ 4 2 4 < ../inputs/input/tc.38]
t339,[],-P [ 0 0 0 < ../inputs/input/tc.39]
t340,[],-P [ 0 0 0 < ../inputs/input/tc.40]
t341,[],-P [ 0 0 2 < ../inputs/input/tc.41]
t342,[],-P [ 4 0 0 < ../inputs/input/tc.42]
t343,[],-P [ 0 0 3 < ../inputs/input/tc.43]
t344,[],-P [ 3 3 3 < ../inputs/input/tc.44]
t345,[],-P [ 0 0 0 < ../inputs/input/tc.45]
t346,[],-P [ 0 0 0 < ../inputs/input/tc.46]
t347,[],-P [ 0 0 0 < ../inputs/input/tc.47]
t348,[],-P [ 4 4 1 < ../inputs/input/tc.48]
t349,[],-P [ 0 0 1 < ../inputs/input/tc.49]
t350,[],-P [ 0 0 0 < ../inputs/input/tc.50]
t351,[],-P [ 1 1 3 < ../inputs/input/tc.51]
t352,[],-P [ 0 0 0 < ../inputs/input/tc.52]
t353,[],-P [ 0 0 3 < ../inputs/input/tc.53]
t354,[],-P [ 0 0 0 < ../inputs/input/tc.54]
t355,[],-P [ 4 1 3 < ../inputs/input/tc.55]
t356,[],-P [ 0 4 0 < ../inputs/input/tc.56]
t357,[],-P [ 0 2 0 < ../inputs/input/tc.57]
t358,[],-P [ 1 3 4 < ../inputs/input/tc.58]
t359,[],-P [ 0 0 0 < ../inputs/input/tc.59]
t360,[],-P [ 1 3 2 < ../inputs/input/tc.60]
t361,[],-P [ 0 0 0 < ../inputs/input/tc.61]
t362,[],-P [ 0 0 0 < ../inputs/input/tc.62]
t363,[],-P [ 0 0 0 < ../inputs/input/tc.63]
t364,[],-P [ 0 0 1 < ../inputs/input/tc.64]
t365,[],-P [ 3 4 1 < ../inputs/input/tc.65]
t366,[],-P [ 0 0 0 < ../inputs/input/tc.66]
t367,[],-P [ 0 0 0 < ../inputs/input/tc.67]
t368,[],-P [ 0 1 0 < ../inputs/input/tc.68]
t369,[],-P [ 0 0 0 < ../inputs/input/tc.69]
t370,[],-P [ 0 0 0 < ../inputs/input/tc.70]
t371,[],-P [ 0 0 4 < ../inputs/input/tc.71]
t372,[],-P [ 0 0 0 < ../inputs/input/tc.72]
t373,[],-P [ 0 0 0 < ../inputs/input/tc.73]
t374,[],-P [ 0 0 0 < ../inputs/input/tc.74]
t375,[],-P [ 0 0 0 < ../inputs/input/tc.75]
t376,[],-P [ 0 0 0 < ../inputs/input/tc.76]
t377,[],-P [ 0 0 0 < ../inputs/input/tc.77]
t378,[],-P [ 0 0 0 < ../inputs/input/tc.78]
t379,[],-P [ 0 0 2 < ../inputs/input/tc.79]
t380,[],-P [ 0 0 0 < ../inputs/input/tc.80]
t381,[],-P [ 3 0 0 < ../inputs/input/tc.81]
t382,[],-P [ 0 0 0 < ../inputs/input/tc.82]
t383,[],-P [ 0 0 0 < ../inputs/input/tc.83]
t384,[],-P [ 2 1 3 < ../inputs/input/tc.84]
t385,[],-P [ 0 1 0 < ../inputs/input/tc.85]
t386,[],-P [ 0 0 0 < ../inputs/input/tc.86]
t387,[],-P [ 0 0 4 < ../inputs/input/tc.87]
t388,[],-P [ 0 0 0 < ../inputs/input/tc.88]
t389,[],-P [ 0 0 0 < ../inputs/input/tc.89]
t390,[],-P [ 0 0 0 < ../inputs/input/tc.90]
t391,[],-P [ 0 0 0 < ../inputs/input/tc.91]
t392,[],-P [ 2 2 4 < ../inputs/input/tc.92]
t393,[],-P [ 0 0 0 < ../inputs/input/tc.93]
t394,[],-P [ 0 0 0 < ../inputs/input/tc.94]
t395,[],-P [ 0 0 0 < ../inputs/input/tc.95]
t396,[],-P [ 0 0 0 < ../inputs/input/tc.96]
t397,[],-P [ 0 0 0 < ../inputs/input/tc.97]
t398,[],-P [ 3 3 3 < ../inputs/input/tc.98]
t399,[],-P [ 0 0 0 < ../inputs/input/tc.99]
t400,[],-P [ 0 0 0 < ../inputs/input/tc.100]
t401,[],-P [ 0 0 0 < ../inputs/input/tc.101]
t402,[],-P [ 0 0 0 < ../inputs/input/tc.102]
t403,[],-P [ 3 0 0 < ../inputs/input/tc.103]
t404,[],-P [ 0 0 0 < ../inputs/input/tc.104]
t405,[],-P [ 0 2 0 < ../inputs/input/tc.105]
t406,[],-P [ 1 0 0 < ../inputs/input/tc.106]
t407,[],-P [ 0 0 1 < ../inputs/input/tc.107]
t408,[],-P [ 1 0 0 < ../inputs/input/tc.108]
t409,[],-P [ 1 3 3 < ../inputs/input/tc.109]
t410,[],-P [ 3 4 1 < ../inputs/input/tc.110]
t411,[],-P [ 0 2 0 < ../inputs/input/tc.111]
t412,[],-P [ 0 0 0 < ../inputs/input/tc.112]
t413,[],-P [ 0 0 0 < ../inputs/input/tc.113]
t414,[],-P [ 0 0 4 < ../inputs/input/tc.114]
t415,[],-P [ 1 0 0 < ../inputs/input/tc.115]
t416,[],-P [ 1 4 1 < ../inputs/input/tc.116]
t417,[],-P [ 0 0 0 < ../inputs/input/tc.117]
t418,[],-P [ 0 0 0 < ../inputs/input/tc.118]
t419,[],-P [ 0 0 0 < ../inputs/input/tc.119]
t420,[],-P [ 0 0 0 < ../inputs/input/tc.120]
t421,[],-P [ 0 0 0 < ../inputs/input/tc.121]
t422,[],-P [ 0 0 0 < ../inputs/input/tc.122]
t423,[],-P [ 0 0 0 < ../inputs/input/tc.123]
t424,[],-P [ 0 0 0 < ../inputs/input/tc.124]
t425,[],-P [ 2 2 4 < ../inputs/input/tc.125]
t426,[],-P [ 0 0 3 < ../inputs/input/tc.126]
t427,[],-P [ 0 0 0 < ../inputs/input/tc.127]
t428,[],-P [ 0 0 0 < ../inputs/input/tc.128]
t429,[],-P [ 3 0 0 < ../inputs/input/tc.129]
t430,[],-P [ 0 0 0 < ../inputs/input/tc.130]
t431,[],-P [ 0 0 2 < ../inputs/input/tc.131]
t432,[],-P [ 0 0 0 < ../inputs/input/tc.132]
t433,[],-P [ 0 4 0 < ../inputs/input/tc.133]
t434,[],-P [ 0 0 0 < ../inputs/input/tc.134]
t435,[],-P [ 0 0 0 < ../inputs/input/tc.135]
t436,[],-P [ 0 0 0 < ../inputs/input/tc.136]
t437,[],-P [ 0 0 0 < ../inputs/input/tc.137]
t438,[],-P [ 1 0 0 < ../inputs/input/tc.138]
t439,[],-P [ 4 0 0 < ../inputs/input/tc.139]
t440,[],-P [ 0 1 0 < ../inputs/input/tc.140]
t441,[],-P [ 0 0 2 < ../inputs/input/tc.141]
t442,[],-P [ 0 0 0 < ../inputs/input/tc.142]
t443,[],-P [ 0 0 0 < ../inputs/input/tc.143]
t444,[],-P [ 0 1 0 < ../inputs/input/tc.144]
t445,[],-P [ 0 2 0 < ../inputs/input/tc.145]
t446,[],-P [ 0 0 0 < ../inputs/input/tc.146]
t447,[],-P [ 0 2 0 < ../inputs/input/tc.147]
t448,[],-P [ 2 2 3 < ../inputs/input/tc.148]
